<h1>WSG Sections and Guidelines and Success criteria</h1>
Title,Link,Impact,Effort,Description,Status,Notes
"2. User-Experience Design",https://w3c.github.io/sustyweb/#x2-user-experience-design
"2.1 Undertake Systemic Impacts Mapping",https://w3c.github.io/sustyweb/#x2-1-undertake-systemic-impacts-mapping,Medium,Medium
"Success Criterion - Responsive Design",https://w3c.github.io/sustyweb/#success-criterion-responsive-design,,,"Utilize progressive enhancement and responsive web design to ensure that your work accommodates a device's capabilities, different screen sizes, and will not fail if it meets an unsupported technology."
"Success Criterion - Carbon Aware Design",https://w3c.github.io/sustyweb/#success-criterion-carbon-aware-design,,,"To maximize the use of renewable energy, adapt your website or service to electricity availability using carbon-aware design techniques."
"Success Criterion - Alternative Browsing",https://w3c.github.io/sustyweb/#success-criterion-alternative-browsing,,,"Consider supporting other indirect methods of interaction such as voice (speech), code (QR, etc), reader view (browser, application, or RSS), or connected-technology (watch, appliance, transport, etc)."
"3.15 Use Beneficial JavaScript and Its APIs",https://w3c.github.io/sustyweb/#x3-15-use-beneficial-javascript-and-its-apis,High,Medium
"Success Criterion - Beneficial JavaScript",https://w3c.github.io/sustyweb/#success-criterion-beneficial-javascript,,,"Improve sustainability through accessible and performant code implementations."
"Success Criterion - API Requests",https://w3c.github.io/sustyweb/#success-criterion-api-requests,,,"When using an API, make sure you only call it when necessary. On the other side, make sure no unrequired data is sent by the API."
"3.16 Ensure Your Scripts Are Secure",https://w3c.github.io/sustyweb/#x3-16-ensure-your-scripts-are-secure,Medium,Medium
"Success Criterion - Script Security",https://w3c.github.io/sustyweb/#success-criterion-script-security,,,"Check the code for vulnerabilities, exploits, header issues, and code injection."
"3.17 Manage Dependencies Appropriately",https://w3c.github.io/sustyweb/#x3-17-manage-dependencies-appropriately,Medium,Low
"Success Criterion - Dependency Management",https://w3c.github.io/sustyweb/#success-criterion-dependency-management,,,"Prevent developers from downloading and installing JavaScript libraries to run locally (client-side) when they are not needed by checking for unused dependencies and uninstalling those that aren't needed and removing them from your package.json file."
"Success Criterion - Dependency Necessity",https://w3c.github.io/sustyweb/#success-criterion-dependency-necessity,,,"Reduce the amount of JavaScript that has to be downloaded and parsed by the browser by only using libraries where necessary. Consider whether you can use a native JavaScript API instead. Check the package size using a tool like Bundlephobia, and whether individual modules can be installed and imported rather than the whole library."
"Success Criterion - Dependency Updates",https://w3c.github.io/sustyweb/#success-criterion-dependency-updates,,,"Regularly check dependencies and keep them up-to-date."
"3.18 Include Files That Are Automatically Expected",https://w3c.github.io/sustyweb/#x3-18-include-files-that-are-automatically-expected,Low,Low
"Success Criterion - Expected File Formats",https://w3c.github.io/sustyweb/#success-criterion-expected-file-formats,,,"Take advantage of the favicon.ico, robots.txt, opensearch.xml, site.webmanifest, and sitemap.xml documents."
"3.19 Use Plaintext Formats When Appropriate",https://w3c.github.io/sustyweb/#x3-19-use-plaintext-formats-when-appropriate,Low,Low
"Success Criterion - Beneficial File Formats",https://w3c.github.io/sustyweb/#success-criterion-beneficial-file-formats,,,"Utilize standards such as ads.txt, carbon.txt, humans.txt, security.txt and robots.txt."
"3.20 Avoid Using Deprecated or Proprietary Code",https://w3c.github.io/sustyweb/#x3-20-avoid-using-deprecated-or-proprietary-code,Low,Medium
"Success Criterion - Deprecated Code",https://w3c.github.io/sustyweb/#success-criterion-deprecated-code,,,"Upgrading or avoiding deprecated formats is important, the only exception being if consumer support demands maintaining older standards to provide a functional product."
"Success Criterion - Outdated Code",https://w3c.github.io/sustyweb/#success-criterion-outdated-code,,,"Don't use an older standard if a newer recommendation will do the same job as or more effectively."
"3.21 Align Technical Requirements With Sustainability Goals",https://w3c.github.io/sustyweb/#x3-21-align-technical-requirements-with-sustainability-goals,Medium,Medium
"Success Criterion - Identify Requirements",https://w3c.github.io/sustyweb/#success-criterion-identify-requirements,,,"List (and choose carefully) the requirements of the product or service. A simpler technological implementation may use more human resources, but could have a smaller footprint. A prebuilt solution may use more system resources (and thereby produce more emissions upon render) but have a faster build-time (emitting less carbon during development)."
"Success Criterion - Optimized Methodology",https://w3c.github.io/sustyweb/#success-criterion-optimized-methodology,,,"As a general rule, coding from scratch is the best-performing methodology (though if an existing solution is actively maintained, it may be better optimized than what you could produce). Therefore, prefer native components and file systems to a WYSIWYG editor or heavy framework, and be considerate of the impact of third-party solutions."
"Success Criterion - Static VS Dynamic",https://w3c.github.io/sustyweb/#success-criterion-static-vs-dynamic,,,"If you do decide to use a code generation tool, consider using a Static Site Generator in preference to a bulky content management system. Because SSGs often start using a minimalist content entry format (like markdown) and all of the compilation is done before the website is uploaded, the emissions benefit comes from the server not having to place as much effort into serving pages (as they are static) for each visitor. In the case of a CMS, the dynamic nature of a site will involve additional computation (server-side processing) and bulkier libraries."
"Success Criterion - Expandability Considerations",https://w3c.github.io/sustyweb/#success-criterion-expandability-considerations,,,"Plugins, extensions, and themes have been carefully reviewed and selected to maximize interoperability, accessibility, and performance. They are regularly audited over time to ensure continued compatibility."
"Success Criterion - Interface Impact",https://w3c.github.io/sustyweb/#success-criterion-interface-impact,,,"Make sure all the components of the user-interface are the subject of special attention in terms of its sustainability impact, while respecting accessibility and the performance of such components."
"3.22 Use the Latest Stable Language Version",https://w3c.github.io/sustyweb/#x3-22-use-the-latest-stable-language-version,Medium,Medium
"Success Criterion - Versioning",https://w3c.github.io/sustyweb/#success-criterion-versioning,,,"Use the latest build of your chosen syntax language and its coupled framework."
"3.23 Take Advantage of Native Features",https://w3c.github.io/sustyweb/#x3-23-take-advantage-of-native-features,Medium,Low
"Success Criterion - Native Over Custom",https://w3c.github.io/sustyweb/#success-criterion-native-over-custom,,,"Use native functions, APIs and features over writing your own."
"3.24 Run Fewer, Simpler Queries As Possible",https://w3c.github.io/sustyweb/#x3-24-run-fewer-simpler-queries-as-possible,Medium,Low
"Success Criterion - Database Queries",https://w3c.github.io/sustyweb/#success-criterion-database-queries,,,"If you need information that is stored in a database, and you require it more than once in your code, access the database only once, and store the data in a variable for subsequent processing."
"4. Hosting, Infrastructure and Systems",https://w3c.github.io/sustyweb/#x4-hosting-infrastructure-and-systems
"4.1 Choose a Sustainable Hosting Provider",https://w3c.github.io/sustyweb/#x4-1-choose-a-sustainable-hosting-provider,High,Medium
"Success Criterion - Monitor Metrics",https://w3c.github.io/sustyweb/#success-criterion-monitor-metrics,,,"To assess the environmental impacts of hosting and detect overconsumption, some indicators should be monitored: energy / water usage, CPU / Memory usage, allocation of servers and CPU cores, etc. These indicators could be used to calculate metrics directly related to environmental impacts, such as Power Usage Effectiveness (PUE), Water Usage Effectiveness (WUE), and Carbon Usage Effectiveness (CUE). They could be displayed to visitors for transparency and monitoring reasons."
"Success Criterion - Equipment Longevity",https://w3c.github.io/sustyweb/#success-criterion-equipment-longevity,,,"Manage equipment responsibly by keeping them as long as possible, using them as efficiently as possible, making sure they are certified, and purchasing long-lifespan products."
"Success Criterion - Recycling Waste",https://w3c.github.io/sustyweb/#success-criterion-recycling-waste,,,"Recover, recycle, and upcycle waste including equipment."
"Success Criterion - Renewable Electricity",https://w3c.github.io/sustyweb/#success-criterion-renewable-electricity,,,"Electricity comes entirely from sources with the lowest possible carbon intensity (ideally generated by wind or solar rather than from non-renewable sources). For example, Renewable Energy Credits (RECs) can help verify the source, or, ideally, prove that electricity comes directly from renewable sources."
"Success Criterion - Remaining Emissions",https://w3c.github.io/sustyweb/#success-criterion-remaining-emissions,,,"Compensate remaining emissions, keeping in mind that the priority should be to avoid then reduce them and only compensate for them if they cannot be avoided. Carbon credits may not be sustainable, therefore the effectiveness of an offset solution must be verified, shown to be both environmentally viable and sustainable, and part of a longer-term strategy to eliminate emissions entirely from a chain, benefitting the wider ecosystem."
"4.2 Optimize Browser Caching",https://w3c.github.io/sustyweb/#x4-2-optimize-browser-caching,High,High
"Success Criterion - Server-side Caching",https://w3c.github.io/sustyweb/#success-criterion-server-side-caching,,,"If using a CMS, install an applicable plugin to enable on-the-fly server-side caching. Otherwise, use the provided server configuration files to include and tweak the file-type cache expiration using expires, bfcache, or cache-control HTTP header."
"Success Criterion - Offline Access",https://w3c.github.io/sustyweb/#success-criterion-offline-access,,,"Client-side JavaScript uses a combination of ServiceWorkers, WebWorkers, storage Application Programming Interfaces (APIs), or cookies (if necessary) to reduce friction in the user-journey. For example, through the use of a PWA (Progressive Web Application) to ensure that an offline version is available and accessible at all times to reduce inequality and improve accessibility."
"4.3 Compress Your Files",https://w3c.github.io/sustyweb/#x4-3-compress-your-files,High,Low
"Success Criterion - Server-side Compression",https://w3c.github.io/sustyweb/#success-criterion-server-side-compression,,,"If using a CMS, install an applicable plugin to enable on-the-fly server-side compression, such as Brotli or GZIP. Otherwise, use the provided server configuration files to include and tweak the performance-related features to the requirements."
"Success Criterion - Media Compression",https://w3c.github.io/sustyweb/#success-criterion-media-compression,,,"Compress your various images, fonts, audio, and video; by reducing the quality and offering different resolutions / dimensions (sizes) before uploading to a server or content management system."
"4.4 Use Error Pages and Redirects Carefully",https://w3c.github.io/sustyweb/#x4-4-use-error-pages-and-redirects-carefully,Low,Low
"Success Criterion - Error Pages",https://w3c.github.io/sustyweb/#success-criterion-error-pages,,,"Maintain sites by ensuring links are correct, and if errors occur, provide suitable way-finding within optimized pages for each error type to ensure resources can be identified to help a visitor complete the task they started."
"Success Criterion - Redirection",https://w3c.github.io/sustyweb/#success-criterion-redirection,,,"Redirect websites, subdomains, and pages only when necessary. Proactively seek broken or outdated links and fix them. A redirect or search will often help reduce the number of pages a visitor needs to load."
"4.5 Limit Usage of Additional Environments",https://w3c.github.io/sustyweb/#x4-5-limit-usage-of-additional-environments,Medium,Low
"Success Criterion - Unused Environments",https://w3c.github.io/sustyweb/#success-criterion-unused-environments,,,"Ensure no unused environment is available, balancing the cost of deploying an environment with the cost of keeping it online while unused."
"4.6 Automate To Fit the Needs",https://w3c.github.io/sustyweb/#x4-6-automate-to-fit-the-needs,High,Medium
"Success Criterion - Automate Tasks",https://w3c.github.io/sustyweb/#success-criterion-automate-tasks,,,"Every recurring task, such as deployment, testing, or compilation, can be run automatically, as is recommended by continuous integration / continuous delivery best practices."
"Success Criterion - Necessitate Tasks",https://w3c.github.io/sustyweb/#success-criterion-necessitate-tasks,,,"To reduce wasted processing cycles, every automated task is only run when needed."
"Success Criterion - Automated Scaling",https://w3c.github.io/sustyweb/#success-criterion-automated-scaling,,,"Use automated scaling infrastructure to automatically increase the capacity of the web server and implement buffering / throttling to respond to visitor demand."
"Success Criterion - Security Tooling",https://w3c.github.io/sustyweb/#success-criterion-security-tooling,,,"Web browsing from bots has been steadily increasing in recent years. As such, it is a growing concern for security, performance, and sustainability. Use security tools that automatically block bad actors and minimize bad behavior. This results in substantially less load on the server, fewer logs, less data, less effect due to compromise, and more. The result of compromised websites is a large increase in HTTP, email, and other traffic as malicious code attempts to infiltrate other resources and exfiltrate data. Compromised websites are typically identified by anomalous patterned behavior."
"4.7 Maintain a Relevant Refresh Frequency",https://w3c.github.io/sustyweb/#x4-7-maintain-a-relevant-refresh-frequency,Medium,Low
"Success Criterion - Refresh Frequency",https://w3c.github.io/sustyweb/#success-criterion-refresh-frequency,,,"The frequency for refresh (of both the cache, locally stored data, and the page) is defined depending on visitor needs."
"4.8 Be Mindful of Duplicate Data",https://w3c.github.io/sustyweb/#x4-8-be-mindful-of-duplicate-data,Low,Low
"Success Criterion - Data Backups",https://w3c.github.io/sustyweb/#success-criterion-data-backups,,,"Backups of system and user data are both incremental and secure."
"4.9 Enable Asynchronous Processing and Communication",https://w3c.github.io/sustyweb/#x4-9-enable-asynchronous-processing-and-communication,Medium,Medium
"Success Criterion - Batch Processing",https://w3c.github.io/sustyweb/#success-criterion-batch-processing,,,"By default, non-critical processes and communications are batched and launched only when carbon-intensity is under a given threshold."
"Success Criterion - Protocol Usage",https://w3c.github.io/sustyweb/#success-criterion-protocol-usage,,,"Ensure the communication protocols are relevant to the visitor's needs and data transferred. Avoid using insecure protocols (HTTP, FTP), and prioritize more efficient and privacy-aware data routes for visitors (HTTPS, SSH)."
"4.10 Consider CDNs and Edge Caching",https://w3c.github.io/sustyweb/#x4-10-consider-cdns-and-edge-caching,Medium,Low
"Success Criterion - Content Delivery Network's (CDNs)",https://w3c.github.io/sustyweb/#success-criterion-content-delivery-network-s-cdns,,,"When building for a globally distributed audience, use a CDN to store and serve simple read-only, pre-generated resources in a fast and efficient manner. Although they definitely can increase performance, it is also another layer of infrastructure which needs to be considered for sustainability."
"Success Criterion - Sustainability Commitment",https://w3c.github.io/sustyweb/#success-criterion-sustainability-commitment,,,"Check the CDN to verify that it provides a commitment to sustainability."
"Success Criterion - Local Servers",https://w3c.github.io/sustyweb/#success-criterion-local-servers,,,"Choose a hosting provider with servers located close to the visitor."
"Success Criterion - Avoid Caching Inappropriate Resources",https://w3c.github.io/sustyweb/#success-criterion-avoid-caching-inappropriate-resources,,,"Avoid using the service to host dynamic resources or JavaScript (unless through a first-party host) as due to cache partitioning, cross-origin resource sharing (CORS), and other browser mechanics, any benefits are negated by weaker performance, the inability to cache or interact, and the potential introduction of security and privacy issues to be introduced. This doesn't affect JSON or other static assets."
"4.11 Use the Lowest Infrastructure Tier Meeting Business Requirements",https://w3c.github.io/sustyweb/#x4-11-use-the-lowest-infrastructure-tier-meeting-business-requirements,Medium,Medium
"Success Criterion - Lowest Requirements",https://w3c.github.io/sustyweb/#success-criterion-lowest-requirements,,,"Select infrastructure elements with the lowest requirements tier, meeting your service-level agreements. Avoid over-provisioning multi-datacenter, multi-zone, or distributed deployments if standalone instances meet the requirements. Also avoid provisioning infrastructure that will be under-utilized by provisioning for established average loads, ensuring reasonable resource utilization and autoscaling occurs as needed. Avoid provisioning for peak loads."
"4.12 Store Data According to Visitor Needs",https://w3c.github.io/sustyweb/#x4-12-store-data-according-to-visitor-needs,Low,Low
"Success Criterion - Reduce Redundancy",https://w3c.github.io/sustyweb/#success-criterion-reduce-redundancy,,,"Remove unnecessary and redundant data from your servers, whether it is single-use (dark data) or abandoned."
"Success Criterion - Expiration Dates",https://w3c.github.io/sustyweb/#success-criterion-expiration-dates,,,"Create data with an expiration date. Excess data is a form of technical debt, and routinely cleaning up old data needs to be normalized."
"Success Criterion - Classify And Tag",https://w3c.github.io/sustyweb/#success-criterion-classify-and-tag,,,"Use a data classification / tagging policy to make it easier to find, handle, and remove."
"Success Criterion - Justify Storage",https://w3c.github.io/sustyweb/#success-criterion-justify-storage,,,"Store data only when it is difficult to recreate."
"Success Criterion - Optimize Logging",https://w3c.github.io/sustyweb/#success-criterion-optimize-logging,,,"Optimize log collection, storage (off-site), and rotation; scheduling during low-activity hours and using carbon-neutral backup providers."
"Success Criterion - Compress Storage",https://w3c.github.io/sustyweb/#success-criterion-compress-storage,,,"Enable storage compression both on the fly (Brotli or GZIP) and with long-term assets made available for download."
"5. Business Strategy and Product Management",https://w3c.github.io/sustyweb/#x5-business-strategy-and-product-management
"5.1 Have an Ethical and Sustainability Product Strategy",https://w3c.github.io/sustyweb/#x5-1-have-an-ethical-and-sustainability-product-strategy,High,High
"Success Criterion - Statement Availability",https://w3c.github.io/sustyweb/#success-criterion-statement-availability,,,"The organization has published a publicly available Code of Ethics, Product Guidelines, Sustainability, or ESG Statement that includes language specific to digital products, services, policies, and programs."
"Success Criterion - Achievements And Compliance",https://w3c.github.io/sustyweb/#success-criterion-achievements-and-compliance,,,"List achievements, features, compliance, and anything beyond the scope of these guidelines and publish it in a sustainability section of your product or service."
"Success Criterion - Governance Over Time",https://w3c.github.io/sustyweb/#success-criterion-governance-over-time,,,"The organization can show how it effectively governs implemented digital sustainability, climate policies, and related ESG practices over time."
"Success Criterion - Onboarding New Members",https://w3c.github.io/sustyweb/#success-criterion-onboarding-new-members,,,"The organization has training decks and workshops it uses to onboard new team members on how it implements more sustainable product strategies."
"Success Criterion - Documentation",https://w3c.github.io/sustyweb/#success-criterion-documentation,,,"Raise awareness with your visitor's by documenting your methodology, through impact storytelling, documentation, and helping individuals make more informed decisions."
"Success Criterion - Renewable Showcasing",https://w3c.github.io/sustyweb/#success-criterion-renewable-showcasing,,,"The organization can show how it powers digital products and services with renewable energy."
"5.2 Assign a Sustainability Representative",https://w3c.github.io/sustyweb/#x5-2-assign-a-sustainability-representative,Medium,Low
"Success Criterion - Ecological Referee",https://w3c.github.io/sustyweb/#success-criterion-ecological-referee,,,"Choose and assign an ecological referee (with specific digital expertise) for the product or service within your organization."
"5.3 Raise Awareness and Inform",https://w3c.github.io/sustyweb/#x5-3-raise-awareness-and-inform,Medium,Medium
"Success Criterion - Inform And Train",https://w3c.github.io/sustyweb/#success-criterion-inform-and-train,,,"Make sure that all project stakeholders, including product teams, colleagues, and organizational decision-makers (managers and clients) are informed about and trained in your business's use of sustainable technology."
"Success Criterion - Active Participation",https://w3c.github.io/sustyweb/#success-criterion-active-participation,,,"Encourages stakeholders to actively reduce their environmental impact by providing resources on sustainable design, practices, and concepts."
"5.4 Communicate the Ecological Impact of User Choices",https://w3c.github.io/sustyweb/#x5-4-communicate-the-ecological-impact-of-user-choices,Medium,Medium
"Success Criterion - Impact Communication",https://w3c.github.io/sustyweb/#success-criterion-impact-communication,,,"Clearly communicate the ecological implications of visitor choices and allow visitors to configure settings based on those choices."
"5.5 Estimate a Product or Service's Environmental Impact",https://w3c.github.io/sustyweb/#x5-5-estimate-a-product-or-service-s-environmental-impact,Medium,Medium
"Success Criterion - Life-cycle Analysis",https://w3c.github.io/sustyweb/#success-criterion-life-cycle-analysis,,,"Conduct a full life-cycle Analysis based on the functional unit defined in Guideline 5.15."
"Success Criterion - Competitor Analysis",https://w3c.github.io/sustyweb/#success-criterion-competitor-analysis,,,"Estimate the environmental impact of your or your competitor's current service to inform decision-making (as a potential target goal)."
"5.6 Define Clear Organizational Sustainability Goals and Metrics",https://w3c.github.io/sustyweb/#x5-6-define-clear-organizational-sustainability-goals-and-metrics,Low,Medium
"Success Criterion - Sustainability Goals",https://w3c.github.io/sustyweb/#success-criterion-sustainability-goals,,,"The organization has defined and published a clear set of sustainability goals. It publicly communicates how it will meet these goals, including which performance metrics are important to help the organization and its various stakeholders thrive."
"5.7 Verify Your Efforts Using Established Third-Party Business Certifications",https://w3c.github.io/sustyweb/#x5-7-verify-your-efforts-using-established-third-party-business-certifications,Medium,Medium
"Success Criterion - Certification Achievement",https://w3c.github.io/sustyweb/#success-criterion-certification-achievement,,,"The organization has achieved one or more business sustainability certifications and incorporated operational policies and practices to support them."
"Success Criterion - Certification Maintenance",https://w3c.github.io/sustyweb/#success-criterion-certification-maintenance,,,"The organization maintains its certification through evolving policies and practices over time."
"5.8 Implement Sustainability Onboarding Guidelines",https://w3c.github.io/sustyweb/#x5-8-implement-sustainability-onboarding-guidelines,High,Medium
"Success Criterion - Training Materials",https://w3c.github.io/sustyweb/#success-criterion-training-materials,,,"The organization has dedicated training manuals, workshops, and materials that outline the ESG policies and practices it follows and how to implement them. While managing and maintaining these materials over time, adapting them as new policies and practices arise."
"Success Criterion - Progress Incentivisation",https://w3c.github.io/sustyweb/#success-criterion-progress-incentivisation,,,"The organization incentivizes leadership, teams, and stakeholders to make progress toward the goals outlined in their training, including time for sustainability activities, recognition for completion, and so on."
"Success Criterion - Negative Variables",https://w3c.github.io/sustyweb/#success-criterion-negative-variables,,,"The organization anticipates and maps potential negative external variables on the service, and acts to minimize their overall impact."
"5.9 Support Mandatory Disclosures and Reporting",https://w3c.github.io/sustyweb/#x5-9-support-mandatory-disclosures-and-reporting,Medium,Medium
"Success Criterion - Policies And Practices",https://w3c.github.io/sustyweb/#success-criterion-policies-and-practices,,,"The organization has created and published policies and practices for disclosing the social and environmental impacts of its products, services, policies, and programs in line with existing reporting standards such as GRI Performance, SASB, etc."
"Success Criterion - Impact Report",https://w3c.github.io/sustyweb/#success-criterion-impact-report,,,"The organization produces a publicly available impact report outlining its progress against previous reports on social and environmental goals at least once per year."
"Success Criterion - Standards And Policies",https://w3c.github.io/sustyweb/#success-criterion-standards-and-policies,,,"The organization publicly and transparently follows existing or emerging environmental standards and legislative policy that promotes mandatory disclosures and reporting for emissions. This is done alongside other social and environmental criteria in its impact reporting, maintaining these practices over time for future reports."
"Success Criterion - Impact Reduction",https://w3c.github.io/sustyweb/#success-criterion-impact-reduction,,,"The organization clearly identifies how it reduces its environmental impact, avoiding double accounting, greenwashing, excluded data, or other manipulative techniques."
"5.10 Create One or More Impact Business Models",https://w3c.github.io/sustyweb/#x5-10-create-one-or-more-impact-business-models,High,Medium
"Success Criterion - Theory Of Change",https://w3c.github.io/sustyweb/#success-criterion-theory-of-change,,,"The organization has completed (and operationalized) a Theory of Change process with requisite documentation to identify the impact it hopes to create, how it will generate revenue, shared, or added value from these activities, how it will measure results based on desired outcomes; or in the case of launched projects, is generating revenue, actively tracking and measuring progress against any desired outcomes."
"5.11 Follow a Product Management and Maintenance Strategy",https://w3c.github.io/sustyweb/#x5-11-follow-a-product-management-and-maintenance-strategy,High,Low
"Success Criterion - Management And Maintenance",https://w3c.github.io/sustyweb/#success-criterion-management-and-maintenance,,,"The organization has documented policies outlining how it approaches product management and maintenance."
"Success Criterion - Planning Strategy",https://w3c.github.io/sustyweb/#success-criterion-planning-strategy,,,"The organization has maintenance / security plans in place for all the digital products and services it manages."
"Success Criterion - Resourcing Products",https://w3c.github.io/sustyweb/#success-criterion-resourcing-products,,,"The organization appropriately resources products over time via staffing and budgeting to support refactoring code, addressing technical debt, new product features, ongoing testing, and product or service maintenance plans to continue supporting its customers, visitors, and other stakeholders."
"Success Criterion - Resource Measurement",https://w3c.github.io/sustyweb/#success-criterion-resource-measurement,,,"The organization incorporates carbon and resource measurement into maintenance programs and can show measurable improvement over time."
"5.12 Implement Continuous Improvement Procedures",https://w3c.github.io/sustyweb/#x5-12-implement-continuous-improvement-procedures,High,High
"Success Criterion - Continuous Improvement",https://w3c.github.io/sustyweb/#success-criterion-continuous-improvement,,,"The organization has created policies and practices to enable continuous improvement and has resourced the organization appropriately to support these efforts over time."
"Success Criterion - Agile Reviews",https://w3c.github.io/sustyweb/#success-criterion-agile-reviews,,,"Agile sprints and update frequency must go through a review process to ensure project teams have enough time to conduct user-research, identify technical debt, and produce quality output."
"Success Criterion - Iterative Consideration",https://w3c.github.io/sustyweb/#success-criterion-iterative-consideration,,,"Use (and show a track record of) continuous improvement (iteration) to analyze your website or application while also addressing the by-products and potential consequences of ongoing experimentation, such as technical debt, product performance, emissions, and related issues. Limiting analytics to only necessary features to aid with decision-making, encouraging visitor feedback, and comparing performance against business goals and visitor needs."
"Success Criterion - Functionality Decisions",https://w3c.github.io/sustyweb/#success-criterion-functionality-decisions,,,"Justify and prioritize the retention of existing features, the creation of new functionality, and the decommission or elimination of unused functionality and unvisited pages through the product's life-cycle."
"Success Criterion - Security Updates",https://w3c.github.io/sustyweb/#success-criterion-security-updates,,,"Provide corrective security and policy updates during the product or service lifecycle, while distinguishing these updates from more extensive evolutionary updates."
"Success Criterion - Skills And Maintenance",https://w3c.github.io/sustyweb/#success-criterion-skills-and-maintenance,,,"Develop sustainable product and data strategies along with appropriate training techniques that help your team (managers, colleagues, etc) build capacity and learn new skills to manage and maintain products and services over time."
"5.13 Document Future Updates and Evolutions",https://w3c.github.io/sustyweb/#x5-13-document-future-updates-and-evolutions,Low,Low
"Success Criterion - Feature Changes",https://w3c.github.io/sustyweb/#success-criterion-feature-changes,,,"The user-experience considers possible changes to the product or service such as adding, updating, or removing features."
"5.14 Establish if a Digital Product or Service Is Necessary",https://w3c.github.io/sustyweb/#x5-14-establish-if-a-digital-product-or-service-is-necessary,High,Low
"Success Criterion - Sustainable Development Goals",https://w3c.github.io/sustyweb/#success-criterion-sustainable-development-goals,,,"Review and identify whether your product or service aligns with one of the U.N. (SDGs)."
"Success Criterion - Creation Evaluation",https://w3c.github.io/sustyweb/#success-criterion-creation-evaluation,,,"Evaluate the desirability, feasibility, and viability of the digital product or service they wish to create to ascertain whether it is necessary."
"Success Criterion - Avoid Duplication",https://w3c.github.io/sustyweb/#success-criterion-avoid-duplication,,,"Determine that no existing digital product or service offers the same value. They have conducted analysis to understand whether a new product or service is necessary."
"Success Criterion - Obstacle Consideration",https://w3c.github.io/sustyweb/#success-criterion-obstacle-consideration,,,"Consider any obstacles to using a product or service, such as accessibility, equality, technical, or territorial."
"5.15 Determine the Functional Unit",https://w3c.github.io/sustyweb/#x5-15-determine-the-functional-unit,Medium,Medium
"Success Criterion - Life-cycle Assessment",https://w3c.github.io/sustyweb/#success-criterion-life-cycle-assessment,,,"Consider and conduct a life-cycle Assessment (LCA) to define the requirements of your product's function throughout its lifecycle."
"5.16 Create a Supplier Standards of Practice",https://w3c.github.io/sustyweb/#x5-16-create-a-supplier-standards-of-practice,High,High
"Success Criterion - Vetting Potential Partners",https://w3c.github.io/sustyweb/#success-criterion-vetting-potential-partners,,,"The organization has created specific policies to vet potential partners in its supply chain based on ESG principles."
"Success Criterion - Collaborative Measurement",https://w3c.github.io/sustyweb/#success-criterion-collaborative-measurement,,,"The organization has partnered with suppliers to create, track, and measure collective impact on issues that impact their stakeholders."
"Success Criterion - Informative Partner Promotion",https://w3c.github.io/sustyweb/#success-criterion-informative-partner-promotion,,,"The organization promotes its partnerships in a publicly available place, along with information on how the partnership creates a collective impact."
"5.17 Share Economic Benefits",https://w3c.github.io/sustyweb/#x5-17-share-economic-benefits,High,Medium
"Success Criterion - Living Wage",https://w3c.github.io/sustyweb/#success-criterion-living-wage,,,"The organization publicly commits to paying employees, contractors, and other stakeholders a living wage."
"Success Criterion - Incentivisation",https://w3c.github.io/sustyweb/#success-criterion-incentivisation,,,"The organization has policies and practices in place to incentivize stakeholders, such as workers and contractors, to meet its impact goals."
"Success Criterion - Employee Benefits",https://w3c.github.io/sustyweb/#success-criterion-employee-benefits,,,"The organization provides benefits to employees in accordance with its resources, including, where relevant, healthcare, retirement planning, flex time, profit sharing, and so on."
"Success Criterion - Legislation Advocation",https://w3c.github.io/sustyweb/#success-criterion-legislation-advocation,,,"The organization advocates for responsible legislation that supports employment rights, transparency, and accountability related to sharing economic benefits."
"5.18 Share Decision-Making Power With Appropriate Stakeholders",https://w3c.github.io/sustyweb/#x5-18-share-decision-making-power-with-appropriate-stakeholders,Low,High
"Success Criterion - Decision-Making",https://w3c.github.io/sustyweb/#success-criterion-decision-making,,,"Ensure that the project team's goals are aligned with key business objectives, and project stakeholders (for example, project managers) have the power and autonomy to make key decisions on the organization's behalf."
"5.19 Use Justice, Equity, Diversity, Inclusion (JEDI) Practices",https://w3c.github.io/sustyweb/#x5-19-use-justice-equity-diversity-inclusion-jedi-practices,High,High
"Success Criterion - JEDI Practices",https://w3c.github.io/sustyweb/#success-criterion-jedi-practices,,,"The organization has documented its commitment to JEDI practices with clear policies on how it prioritizes marginalized or otherwise underserved communities, including Black, Indigenous, People of Color, LGBTQIA+, Women, Disabled, Veterans, Seniors, and so on."
"Success Criterion - Accessibility Policy",https://w3c.github.io/sustyweb/#success-criterion-accessibility-policy,,,"The organization has an accessibility policy for digital products and services and can show this via a verified accessible website, application, product, or service."
"Success Criterion - JEDI Training",https://w3c.github.io/sustyweb/#success-criterion-jedi-training,,,"The organization has JEDI-related training materials and schedules ongoing workshops related to how this topic manifests itself in digital products and services (algorithmic bias, digital divide, gig economy work, mis / disinformation, etc)."
"Success Criterion - JEDI Improvements",https://w3c.github.io/sustyweb/#success-criterion-jedi-improvements,,,"The organization can show measurable JEDI improvement over time in its hiring, leadership, and operations."
"Success Criterion - JEDI Legislation",https://w3c.github.io/sustyweb/#success-criterion-jedi-legislation,,,"The organization advocates for responsible legislation relating to JEDI practices, especially as related to digital products and services."
"5.20 Promote Responsible Data Practices",https://w3c.github.io/sustyweb/#x5-20-promote-responsible-data-practices,High,Medium
